text,intent_label

"Where is my order?",order_status
"I want to track my package",order_status
"Can you tell me the status of my order?",order_status
"Is my order shipped yet?",order_status
"Check my order status please",order_status
"I want to see my order details",order_status
"Has my order been dispatched?",order_status
"Where can I track my order?",order_status
"Order status update needed",order_status
"Can I know if my order is confirmed?",order_status
"Show my current order status",order_status
"Track my recent order",order_status
"I need help with my order",order_status
"Where can I check my order?",order_status
"Please update me on my order",order_status
"Has my package been shipped?",order_status
"Is my order on the way?",order_status
"What is the current status of my shipment?",order_status
"Can I get tracking information?",order_status
"Where is my recent purchase?",order_status
"Is my order dispatched yet?",order_status
"Can you confirm my order progress?",order_status
"Track my package please",order_status
"When will my order arrive?",order_status
"Give me my order update",order_status
"Is my parcel shipped?",order_status
"Check shipment progress",order_status
"Update me about my delivery",order_status
"I want shipment details",order_status
"Show tracking details",order_status
"Where is my parcel now?",order_status
"Package details",order_status
"Show package details",order_status
"Track my package",order_status
"Where is my package",order_status


"My order has not arrived yet",delivery_delay
"My delivery is late",delivery_delay
"The package has not arrived on time",delivery_delay
"My order is delayed again",delivery_delay
"Why is my delivery taking so long?",delivery_delay
"I was supposed to receive my order yesterday",delivery_delay
"There is a delay in my shipment",delivery_delay
"My delivery deadline has passed",delivery_delay
"The courier has not delivered my package",delivery_delay
"My order delivery is pending",delivery_delay
"Delivery is slower than expected",delivery_delay
"My parcel is still not here",delivery_delay
"The delivery is taking too long",delivery_delay
"Why is my shipment delayed?",delivery_delay
"My package is late again",delivery_delay
"I did not receive my delivery",delivery_delay
"My order is stuck in transit",delivery_delay
"The shipment is delayed",delivery_delay
"My parcel has not arrived",delivery_delay
"Delivery time exceeded",delivery_delay
"It was supposed to arrive today",delivery_delay
"Why is there a delay?",delivery_delay
"The courier is late",delivery_delay
"My shipment is behind schedule",delivery_delay
"The delivery is pending for days",delivery_delay
"My order hasn't come yet",delivery_delay
"This delivery is too slow",delivery_delay
"The parcel is not delivered yet",delivery_delay
"I am waiting for delivery",delivery_delay
"Package delayed",delivery_delay
"My package is delayed",delivery_delay
"Order not arrived",delivery_delay
"Order not delivered",delivery_delay
"Delivery not received",delivery_delay


"I need to request a refund",refund_request
"Refund my purchase",refund_request
"I want compensation for this order",refund_request
"How do I return this and get money back?",refund_request
"I am asking for a refund",refund_request
"Please refund the amount",refund_request
"I did not like the product, refund it",refund_request
"My return has not been refunded",refund_request
"I want a refund immediately",refund_request
"When will I receive my refund?",refund_request
"Cancel my order and refund me",refund_request
"I need my money returned",refund_request
"Start refund process",refund_request
"I want to send this back and get a refund",refund_request
